donec ut mauris eget massa,non lectus aliquam sit amet diam in,28.55,3186,94
velit nec nisi vulputate,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,96.72,2952,59
nam,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,59.72,4881,62
metus vitae ipsum,praesent id massa id nisl,31.63,3683,17
mauris,porttitor pede justo eu massa donec dapibus,28.75,4788,82
neque,ultrices posuere cubilia curae nulla dapibus dolor,7.7,3460,80
justo pellentesque viverra pede ac,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,87.26,1678,24
ut volutpat sapien arcu sed,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,12.74,3487,90
ligula vehicula consequat morbi a,rhoncus dui vel sem sed sagittis nam,83.4,4203,23
maecenas leo odio condimentum id,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,11.74,2267,85
sapien cum,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,30.94,2398,17
parturient montes nascetur ridiculus,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,39.1,3455,14
est risus auctor sed,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,74.12,4685,41
nam tristique tortor,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,1.86,2513,2
curabitur in libero ut massa,eget orci vehicula condimentum curabitur in libero,32.34,2815,31
